,PRODUCT NAME,PRODUCT PRICE,PRODUCT RATING,URL,brand,star,capacity,doubledoor
0,amazonbasics 564 l side-by-side door refrigerator (black glass door),49699,,https://m.media-amazon.com/images/I/71fa4e1KQsL._AC_UY218_.jpg,amazonbasics,,564.0,0
1,"candy 170 l 2 star direct-cool single door refrigerator (cdsd522170ms, moon silver)",9690,4.1,https://m.media-amazon.com/images/I/718n2Wv3inL._AC_UY218_.jpg,candy,2.0,170.0,0
2,"whirlpool 190 l 3 star direct-cool single door refrigerator (wde 205 cls 3s, blue)",12730,4.2,https://m.media-amazon.com/images/I/51HxYKRTfhL._AC_UY218_.jpg,whirlpool,3.0,190.0,0
3,"whirlpool 200 l 4 star inverter direct-cool single door refrigerator (215 icemagic pro roy 4s inv, sapphire mulia, base stand)",16230,4.2,https://m.media-amazon.com/images/I/715j2BmGiwL._AC_UY218_.jpg,whirlpool,4.0,200.0,0
4,"samsung 192 l 2 star direct cool single door refrigerator (rr19a241bgs/nl, grey silver)",13190,,https://m.media-amazon.com/images/I/81FyYXoQF-L._AC_UY218_.jpg,samsung,2.0,192.0,0
5,"samsung 230 l 3 star inverter single door refrigerator (rr24a2y2ys8/nl, elegant inox)",16790,4.2,https://m.media-amazon.com/images/I/81nRR-MTPDL._AC_UY218_.jpg,samsung,3.0,230.0,0
6,"samsung 225 l 4 star inverter direct cool single door refrigerator(rr23a2f3x9u/hl, paradise blue, base stand with drawer, digi-touch cool)",19990,,https://m.media-amazon.com/images/I/81XbI3uVAFL._AC_UY218_.jpg,samsung,4.0,225.0,0
7,"samsung 253 l 3 star with inverter double door refrigerator (rt28a3453s8/hl, elegant inox)",24890,,https://m.media-amazon.com/images/I/71EZGsB-w8L._AC_UY218_.jpg,samsung,3.0,253.0,1
8,"lg 190 l 5 star inverter direct-cool single door refrigerator (gl-d201apzz, shiny steel, base stand with drawer)",16590,,https://m.media-amazon.com/images/I/51g7DtRdmIS._AC_UY218_.jpg,lg,5.0,190.0,0
9,"samsung 198 l 4 star inverter direct-cool single door refrigerator (rr21t2h2xcr/hl, camellia purple, base stand with drawer)",16750,,https://m.media-amazon.com/images/I/71DJffKcMZL._AC_UY218_.jpg,samsung,4.0,198.0,0
10,"samsung 580 l inverter frost-free french door refrigerator (rf57a5032s9/tl, refined inox, convertible)",74990,,https://m.media-amazon.com/images/I/61uVsGgl1ES._AC_UY218_.jpg,samsung,,580.0,0
11,"samsung 255 l 3 star inverter direct cool single door refrigerator(rr26t389yut/hl, pebble blue, base stand with drawer)",20390,4.2,https://m.media-amazon.com/images/I/71MgoYxgs1L._AC_UY218_.jpg,samsung,3.0,255.0,0
12,"whirlpool 190 l 2 star direct-cool single door refrigerator (wde 205 cls plus 2s, wine fiesta, toughened glass shelves)",12740,,https://m.media-amazon.com/images/I/81K5Xm6R4xL._AC_UY218_.jpg,whirlpool,2.0,190.0,0
13,"whirlpool 190 l 3 star direct-cool single door refrigerator (wde 205 cls 3s, wine)",12730,4.2,https://m.media-amazon.com/images/I/71BCyrMrs0L._AC_UY218_.jpg,whirlpool,3.0,190.0,0
14,"haier 181 l 2 star direct-cool single door refrigerator (hed-1812bks-e, black brushline)",11340,4.2,https://m.media-amazon.com/images/I/71mlSspS7OL._AC_UY218_.jpg,haier,2.0,181.0,0
15,"godrej 185 l 4 star inverter direct-cool single door refrigerator (rd uno 1854 pti aq wn, aqua wine, cool lock technology)",14290,,https://m.media-amazon.com/images/I/61cgzM661WS._AC_UY218_.jpg,godrej,4.0,185.0,0
16,"whirlpool 190 l 4 star inverter direct-cool single door refrigerator (wde 205 prm 4s inv, sapphire magnolia)",14990,,https://m.media-amazon.com/images/I/51pOcwU7HWS._AC_UY218_.jpg,whirlpool,4.0,190.0,0
17,"haier 195 l 4 star direct-cool single-door refrigerator (hed- 20cfds, dazzle steel)",14690,4.2,https://m.media-amazon.com/images/I/61DWru8Y9NL._AC_UY218_.jpg,haier,4.0,195.0,0
18,"whirlpool 190 l 2 star direct-cool single door refrigerator (wde 205 cls plus 2s, sapphire fiesta, toughened glass shelves)",12740,4.2,https://m.media-amazon.com/images/I/81draxos71L._AC_UY218_.jpg,whirlpool,2.0,190.0,0
19,"lg 190 l 4 star inverter direct-cool single door refrigerator (gl-d201ascy, scarlet charm, base stand with drawer)",16431,,https://m.media-amazon.com/images/I/71PjRr580lL._AC_UY218_.jpg,lg,4.0,190.0,0
20,amazonbasics 564 l side-by-side door refrigerator (silver steel finish),48999,4.2,https://m.media-amazon.com/images/I/71DuofqGR8L._AC_UY218_.jpg,amazonbasics,,564.0,0
21,"samsung 225 l 4 star inverter direct cool single door refrigerator(rr23a2f3x9u/hl, paradise blue, base stand with drawer, digi-touch cool)",19990,,https://m.media-amazon.com/images/I/81XbI3uVAFL._AC_UY218_.jpg,samsung,4.0,225.0,0
22,"samsung 580 l inverter frost-free french door refrigerator (rf57a5032s9/tl, refined inox, convertible)",74990,,https://m.media-amazon.com/images/I/61uVsGgl1ES._AC_UY218_.jpg,samsung,,580.0,0
23,"samsung 255 l 3 star inverter direct cool single door refrigerator(rr26t389yut/hl, pebble blue, base stand with drawer)",20390,4.2,https://m.media-amazon.com/images/I/71MgoYxgs1L._AC_UY218_.jpg,samsung,3.0,255.0,0
24,"haier 190 l 2 star direct-cool single door refrigerator (hed-19tbr, burgundy red)",11590,4.2,https://m.media-amazon.com/images/I/61cYybPAvUL._AC_UY218_.jpg,haier,2.0,190.0,0
25,"candy 190 l 2 star direct-cool single door refrigerator (cdsd522190ms, moon silver)",10590,,https://m.media-amazon.com/images/I/71pDcgractL._AC_UY218_.jpg,candy,2.0,190.0,0
26,"haier 170 l 2 star single door refrigerator (hed-17tbr, burgundy red)",11200,4.2,https://m.media-amazon.com/images/I/71riunUnxzL._AC_UY218_.jpg,haier,2.0,170.0,0
27,"godrej 99l 1 star direct cool single door refrigerator (rd champ 114a 13 ewf ps wn, prism wine), red",10490,4.1,https://m.media-amazon.com/images/I/71iY6Jt8P4L._AC_UY218_.jpg,godrej,1.0,99.0,0
28,"godrej 190 l 3 star inverter direct-cool single door refrigerator with jumbo vegetable tray (rd 1903 ewhi 33 stl bl, steel blue, inverter compressor)",12990,4.2,https://m.media-amazon.com/images/I/61zO9th7+1L._AC_UY218_.jpg,godrej,3.0,190.0,0
29,"godrej 185 l 4 star inverter direct-cool single door refrigerator (rd uno 1854 pti aq bl, aqua blue, cool lock technology)",14290,4.1,https://m.media-amazon.com/images/I/61id5NxI2aS._AC_UY218_.jpg,godrej,4.0,185.0,0
30,amazonbasics 43 l single door mini refrigerator,7799,4.1,https://m.media-amazon.com/images/I/51yFFADcyOL._AC_UY218_.jpg,amazonbasics,,43.0,0
31,"haier 195 l 3 star direct-cool single door refrigerator (hrd-1953cks-e, black brushline)",12850,4.1,https://m.media-amazon.com/images/I/51AWxZLdpcL._AC_UY218_.jpg,haier,3.0,195.0,0
32,"godrej 236 l 2 star inverter frost-free double door refrigerator with jumbo vegetable tray (rf eon 236b 25 hi si st, stainless steel)",19280,4.0,https://m.media-amazon.com/images/I/61AAVzzYh5L._AC_UY218_.jpg,godrej,2.0,236.0,1
33,amazonbasics 564 l side-by-side door refrigerator (black glass door),49699,,https://m.media-amazon.com/images/I/71fa4e1KQsL._AC_UY218_.jpg,amazonbasics,,564.0,0
34,"whirlpool 190 l 3 star single door refrigerator (wde 205 cls plus 3s, sapphire radiance)",11490,,https://m.media-amazon.com/images/I/51hrKZcz0jL._AC_UY218_.jpg,whirlpool,3.0,190.0,0
35,"samsung 192 l 3 star inverter direct-cool single door refrigerator (rr20t172ys8/hl, elegant inox)",14300,4.2,https://m.media-amazon.com/images/I/81jyN+LFtOL._AC_UY218_.jpg,samsung,3.0,192.0,0
36,"candy 170 l 2 star direct-cool single door refrigerator (cdsd522170ms, moon silver)",9690,4.1,https://m.media-amazon.com/images/I/718n2Wv3inL._AC_UY218_.jpg,candy,2.0,170.0,0
37,"hisense 93 l 1 star direct-cool single door mini refrigerator (rr120d4asb1, silver)",8499,,https://m.media-amazon.com/images/I/71TaranhO2L._AC_UY218_.jpg,hisense,1.0,93.0,0
38,"samsung 198 l 4 star inverter direct cool single door refrigerator (rr21a2c2xdx/hl, luxe brown, digi-touch cool)",16390,,https://m.media-amazon.com/images/I/71Xu54rhHyL._AC_UY218_.jpg,samsung,4.0,198.0,0
39,"lg 190l 5 star smart inverter direct-cool single door refrigerator (gl-b201ascz, scarlet charm, fastest ice making)",16490,,https://m.media-amazon.com/images/I/71zn7MuhJEL._AC_UY218_.jpg,lg,5.0,190.0,0
40,"whirlpool 265 l 2 star frost-free double door refrigerator (neofresh gd prm 278 2s, crystal black, glass door)",23490,4.1,https://m.media-amazon.com/images/I/81afSsSwiXL._AC_UY218_.jpg,whirlpool,2.0,265.0,1
41,"whirlpool 200 l 3 star inverter direct-cool single door refrigerator with auto-defrost technology (215 vitamagic pro prm 3s inv, magnum steel)",16990,4.2,https://m.media-amazon.com/images/I/61Vx51FsWbL._AC_UY218_.jpg,whirlpool,3.0,200.0,0
42,amazonbasics 564 l side-by-side door refrigerator (silver steel finish),48999,4.2,https://m.media-amazon.com/images/I/71DuofqGR8L._AC_UY218_.jpg,amazonbasics,,564.0,0
43,"samsung 225 l 4 star inverter direct cool single door refrigerator(rr23a2f3x9u/hl, paradise blue, base stand with drawer, digi-touch cool)",19990,,https://m.media-amazon.com/images/I/81XbI3uVAFL._AC_UY218_.jpg,samsung,4.0,225.0,0
44,"samsung 580 l inverter frost-free french door refrigerator (rf57a5032s9/tl, refined inox, convertible)",74990,,https://m.media-amazon.com/images/I/61uVsGgl1ES._AC_UY218_.jpg,samsung,,580.0,0
45,"samsung 255 l 3 star inverter direct cool single door refrigerator(rr26t389yut/hl, pebble blue, base stand with drawer)",20390,4.2,https://m.media-amazon.com/images/I/71MgoYxgs1L._AC_UY218_.jpg,samsung,3.0,255.0,0
46,"godrej 190 l 5 star inverter direct-cool single door refrigerator with jumbo vegetable tray (rd 1905 ptdi 53 gl bl, glass blue, base stand with drawer)",16990,,https://m.media-amazon.com/images/I/71gkLeZUjIL._AC_UY218_.jpg,godrej,5.0,190.0,0
47,"godrej 231 l 1 star frost-free double door refrigerator with anti-bacterial removable gasket(rf eon 245a 15 hf sn st, shiny steel), silver",18490,4.1,https://m.media-amazon.com/images/I/614AEoHdbrL._AC_UY218_.jpg,godrej,1.0,231.0,1
48,"whirlpool 240 l frost free multi-door refrigerator(fp 263d protton roy, alpha steel)",25490,,https://m.media-amazon.com/images/I/71La4hoCgYL._AC_UY218_.jpg,whirlpool,,240.0,0
49,"samsung 220 l 4 star inverter direct cool single door refrigerator(rr23a2k3xbz/hl, midnight blossom black, base stand drawer, digi-touch cool, curd maestro)",21690,,https://m.media-amazon.com/images/I/71JXWiKHFhL._AC_UY218_.jpg,samsung,4.0,220.0,0
50,"whirlpool 190 l 3 star direct-cool single door refrigerator (wde 205 cls 3s, grey)",12740,4.2,https://m.media-amazon.com/images/I/719HwfhS6LL._AC_UY218_.jpg,whirlpool,3.0,190.0,0
51,"lg 260l 3 star smart inverter frost-free double door refrigerator (gl-i292rpzx, shiny steel, door cooling+)",25480,,https://m.media-amazon.com/images/I/71if9IRsHlL._AC_UY218_.jpg,lg,3.0,260.0,1
52,"samsung 253l 3 star inverter frost free double door refrigerator (rt28t3743s8/hl, elegant inox, convertible)",26390,,https://m.media-amazon.com/images/I/517CN-kIsuL._AC_UY218_.jpg,samsung,3.0,253.0,1
53,"samsung 253 l 2 star inverter frost-free double door refrigerator (rt28a3032gs/hl, gray silver)",21890,,https://m.media-amazon.com/images/I/71IucrT1lNL._AC_UY218_.jpg,samsung,2.0,253.0,1
54,"godrej 236 l 2 star inverter frost-free double door refrigerator with jumbo vegetable tray (rf eon 236b 25 hi si st, stainless steel)",19280,4.0,https://m.media-amazon.com/images/I/61AAVzzYh5L._AC_UY218_.jpg,godrej,2.0,236.0,1
55,amazonbasics 564 l side-by-side door refrigerator (silver steel finish),48999,4.2,https://m.media-amazon.com/images/I/71DuofqGR8L._AC_UY218_.jpg,amazonbasics,,564.0,0
56,lg mini refrigerator 45l gl-m051rswc white,9689,3.8,https://m.media-amazon.com/images/I/414+AUXiuDL._AC_UY218_.jpg,lg,,45.0,0
57,"whirlpool 240 l frost free multi-door refrigerator (fp 263d protton roy, german steel)",25490,4.2,https://m.media-amazon.com/images/I/71O1V7baJSL._AC_UY218_.jpg,whirlpool,,240.0,0
58,"hisense 44 l 1 star direct-cool single door mini refrigerator (rr60d4asb1, silver)",6999,4.2,https://m.media-amazon.com/images/I/81P8R0WsuPL._AC_UY218_.jpg,hisense,1.0,44.0,0
59,"lg 190 l 3 star direct-cool single door refrigerator (gl-b201rpzd, shiny steel, moist 'n' fresh)",13490,4.2,https://m.media-amazon.com/images/I/714DxmLR6IL._AC_UY218_.jpg,lg,3.0,190.0,0
60,"samsung 324l 3 star inverter frost free double door refrigerator (rt34t4513s8/hl, elegant inox, convertible)",33890,,https://m.media-amazon.com/images/I/71MPug2uqTL._AC_UY218_.jpg,samsung,3.0,324.0,1
61,"samsung 198 l 4 star inverter direct-cool single door refrigerator (rr21t2g2xcr/hl, camellia purple)",16240,,https://m.media-amazon.com/images/I/71wTeDdwExL._AC_UY218_.jpg,samsung,4.0,198.0,0
62,"godrej 236 l 2 star inverter frost-free double door refrigerator with jumbo vegetable tray (rf eon 236b 25 hi si st, stainless steel)",19280,4.0,https://m.media-amazon.com/images/I/61AAVzzYh5L._AC_UY218_.jpg,godrej,2.0,236.0,1
63,"samsung 198 l 5 star inverter direct-cool single door refrigerator (rr21t2h2wcb/hl, camellia black, base stand with drawer)",18190,,https://m.media-amazon.com/images/I/71OBdqqSxCL._AC_UY218_.jpg,samsung,5.0,198.0,0
64,"godrej 255 l 2 star inverter frost-free double door refrigerator with jumbo vegetable tray (rf eon 255b 25 hi ry dr, royal dremin)",20980,4.0,https://m.media-amazon.com/images/I/71FxWNuC7sL._AC_UY218_.jpg,godrej,2.0,255.0,1
65,amazonbasics 564 l side-by-side door refrigerator (black glass door),49699,,https://m.media-amazon.com/images/I/71fa4e1KQsL._AC_UY218_.jpg,amazonbasics,,564.0,0
66,"samsung 580 l inverter frost-free french door refrigerator (rf57a5032s9/tl, refined inox, convertible)",74990,,https://m.media-amazon.com/images/I/61uVsGgl1ES._AC_UY218_.jpg,samsung,,580.0,0
67,amazonbasics 564 l side-by-side door refrigerator (black glass door),49699,,https://m.media-amazon.com/images/I/71fa4e1KQsL._AC_UY218_.jpg,amazonbasics,,564.0,0
68,"whirlpool 260 l frost-free multi-door refrigerator (fp 283d protton roy, german steel)",27780,,https://m.media-amazon.com/images/I/616TAyqifFL._AC_UY218_.jpg,whirlpool,,260.0,0
69,"whirlpool 300 l frost free multi-door refrigerator(fp 313d protton roy, alpha steel)",30980,4.2,https://m.media-amazon.com/images/I/71LhJyC3u9L._AC_UY218_.jpg,whirlpool,,300.0,0
70,"samsung 192 l 3 star inverter direct cool single door refrigerator (rr20a1y2yu8/hl, saffron blue)",14590,4.2,https://m.media-amazon.com/images/I/713dvJzGx9L._AC_UY218_.jpg,samsung,3.0,192.0,0
71,"samsung 192 l 3 star inverter direct cool single door refrigerator (rr20a1y2yr8/hl, saffron red)",14690,4.2,https://m.media-amazon.com/images/I/71DTP8M4enL._AC_UY218_.jpg,samsung,3.0,192.0,0
72,"whirlpool 190 l 4 star inverter direct-cool single door refrigerator (wde 205 roy 4s inv, wine radiance, base-stand with drawer)",15990,4.2,https://m.media-amazon.com/images/I/61zy+v0CC1L._AC_UY218_.jpg,whirlpool,4.0,190.0,0
73,"whirlpool 190 l 4 star inverter direct-cool single door refrigerator (wde 205 roy 4s inv, sapphire magnolia, base stand)",15990,4.2,https://m.media-amazon.com/images/I/51pTt1Xi4dS._AC_UY218_.jpg,whirlpool,4.0,190.0,0
74,"godrej 190 l 3 star inverter direct-cool single door refrigerator with jumbo vegetable tray (rd 1903 pti 33 dr bl, royal drenim, inverter compressor)",13890,4.1,https://m.media-amazon.com/images/I/71zd5Pq+0tL._AC_UY218_.jpg,godrej,3.0,190.0,0
75,"samsung 192 l 2 star direct cool single door refrigerator (rr19a2z2b6r/nl, mystic overlay red, base stand with drawer)",14890,,https://m.media-amazon.com/images/I/81nhFsPFlcL._AC_UY218_.jpg,samsung,2.0,192.0,0
76,"samsung 255 l 3 star inverter direct cool single door refrigerator(rr26t389yut/hl, pebble blue, base stand with drawer)",20390,4.2,https://m.media-amazon.com/images/I/71MgoYxgs1L._AC_UY218_.jpg,samsung,3.0,255.0,0
77,"godrej 236 l 2 star inverter frost-free double door refrigerator with jumbo vegetable tray (rf eon 236b 25 hi si st, stainless steel)",19280,4.0,https://m.media-amazon.com/images/I/61AAVzzYh5L._AC_UY218_.jpg,godrej,2.0,236.0,1
78,"panasonic 336 l 3 star 6-stage inverter frost-free double door refrigerator (nr-mbg34vss3, shining silver, jumbo vegetable basket)",30490,,https://m.media-amazon.com/images/I/71haKDFTB6L._AC_UY218_.jpg,panasonic,3.0,336.0,1
79,"whirlpool 215 l 5 star inverter direct-cool single door refrigerator (230 impro roy 5s inv sapphire abyss, sapphire abyss)",20240,,https://m.media-amazon.com/images/I/61mMrXzBmhL._AC_UY218_.jpg,whirlpool,5.0,215.0,0
80,"whirlpool 265 l 3 star inverter frost-free double door refrigerator (intellifresh inv cnv 278 3s, german steel, convertible)",27240,4.2,https://m.media-amazon.com/images/I/71uiII0RR3L._AC_UY218_.jpg,whirlpool,3.0,265.0,1
81,"haier 192 l 2star direct-cool single door refrigerator (hed-191tds, dazzel steel)",12390,4.1,https://m.media-amazon.com/images/I/71U6AT4LvgL._AC_UY218_.jpg,haier,2.0,192.0,0
82,"whirlpool 190 l 3 star single door refrigerator (wde 205 roy 3s, sapphire radiance, base stand)",14990,,https://m.media-amazon.com/images/I/5101--gGXHL._AC_UY218_.jpg,whirlpool,3.0,190.0,0
83,"whirlpool 190 l 4 star inverter direct-cool single door refrigerator (wde 205 prm 4s inv magnum steel, magnum steel)",14490,,https://m.media-amazon.com/images/I/518kXqvK6xL._AC_UY218_.jpg,whirlpool,4.0,190.0,0
84,"godrej 185 l 3 star direct-cool single door refrigerator (rd uno 1853 ptf aq wn, aqua wine, cool lock technology)",13890,4.1,https://m.media-amazon.com/images/I/61Ahocrel9S._AC_UY218_.jpg,godrej,3.0,185.0,0
85,"godrej 255 l 2 star inverter frost-free double door refrigerator with jumbo vegetable tray (rf eon 255b 25 hi ry dr, royal dremin)",20980,4.0,https://m.media-amazon.com/images/I/71FxWNuC7sL._AC_UY218_.jpg,godrej,2.0,255.0,1
86,amazonbasics 564 l side-by-side door refrigerator (silver steel finish),48999,4.2,https://m.media-amazon.com/images/I/71DuofqGR8L._AC_UY218_.jpg,amazonbasics,,564.0,0
87,"samsung 580 l inverter frost-free french door refrigerator (rf57a5032s9/tl, refined inox, convertible)",74990,,https://m.media-amazon.com/images/I/61uVsGgl1ES._AC_UY218_.jpg,samsung,,580.0,0
88,amazonbasics 564 l side-by-side door refrigerator (silver steel finish),48999,4.2,https://m.media-amazon.com/images/I/71DuofqGR8L._AC_UY218_.jpg,amazonbasics,,564.0,0
89,"whirlpool 265 l 3 star inverter frost-free double door refrigerator (intellifresh inv cnv 278 3s, black sparkle, convertible)",27240,4.1,https://m.media-amazon.com/images/I/71PpAFGSYyL._AC_UY218_.jpg,whirlpool,3.0,265.0,1
90,"whirlpool 215 l 5 star inverter direct-cool single door refrigerator (230 impro roy 5s inv wine flume, wine flume)",20740,,https://m.media-amazon.com/images/I/61RSpf2xNgL._AC_UY218_.jpg,whirlpool,5.0,215.0,0
91,"samsung 198 l 3 star inverter direct cool single door refrigerator (rr21a2c2yut/hl, pebble blue, digi-touch cool)",15790,,https://m.media-amazon.com/images/I/71Sq64GeE6L._AC_UY218_.jpg,samsung,3.0,198.0,0
92,"samsung 198 l 5 star inverter direct-cool single door refrigerator (rr21t2g2wcr/hl, camellia purple)",17099,,https://m.media-amazon.com/images/I/71VtXOqsI3L._AC_UY218_.jpg,samsung,5.0,198.0,0
93,"lg 215 l 4 star inverter direct-cool single door refrigerator (gl-b221ascy, scarlet charm, moist 'n' fresh)",17674,,https://m.media-amazon.com/images/I/716PBP4pfeL._AC_UY218_.jpg,lg,4.0,215.0,0
94,"samsung 198 l 4 star inverter direct-cool single door refrigerator (rr21a2h2xut/hl, pebble blue, base stand with drawer)",16690,,https://m.media-amazon.com/images/I/71IGmNNBwjL._AC_UY218_.jpg,samsung,4.0,198.0,0
95,"whirlpool 570 l inverter frost-free multi-door refrigerator (ws sbs 570 steel (sh), grey)",61990,4.1,https://m.media-amazon.com/images/I/61-5v7QOt4L._AC_UY218_.jpg,whirlpool,,570.0,0
96,"haier 220 l 4 star inverter direct-cool single door refrigerator (hed-22cfds, dazzel steel/brushline silver)",16590,4.2,https://m.media-amazon.com/images/I/71fwxeMQkwL._AC_UY218_.jpg,haier,4.0,220.0,0
97,"samsung 255 l 3 star inverter direct cool single door refrigerator(rr26t389yut/hl, pebble blue, base stand with drawer)",20390,4.2,https://m.media-amazon.com/images/I/71MgoYxgs1L._AC_UY218_.jpg,samsung,3.0,255.0,0
98,"godrej 236 l 2 star inverter frost-free double door refrigerator with jumbo vegetable tray (rf eon 236b 25 hi si st, stainless steel)",19280,4.0,https://m.media-amazon.com/images/I/61AAVzzYh5L._AC_UY218_.jpg,godrej,2.0,236.0,1
99,"whirlpool 190 l 4 star inverter single door refrigerator (wde 205 roy 4s inv, wine magnolia, base stand)",16490,,https://m.media-amazon.com/images/I/51UjRKm2oyS._AC_UY218_.jpg,whirlpool,4.0,190.0,0
100,"samsung 253 l 3 star digital inverter frost free double door refrigerator (rt28a3453bx/hl, luxe black)",25390,,https://m.media-amazon.com/images/I/61OCuQBUbIL._AC_UY218_.jpg,samsung,3.0,253.0,1
